"drug1_id","drug2_id","condition_id"
"DB00112","DB00762","D001932"
"DB00072","DB12183","D015179"
"DB09053","DB08935","D019337"
"DB00398","DB09256","D006528"
"DB05294","DB01248","D002289"
"DB01169","DB00755","D007938"
"DB00317","DB00642","D002289"
"DB00112","DB01229","D001943"
"DB00530","DB01248","D002289"
"DB08916","DB01229","D002289"
"DB00112","DB00072","D001943"
"DB00563","DB00755","D007938"
"DB01041","DB01234","D007938"
"DB00112","DB00642","D002289"
"DB01041","DB00635","D007938"
"DB00317","DB00641","D002289"
"DB00099","DB00531","D009101"
"DB00026","DB01234","D009101"
"DB00072","DB00515","D013274"
"DB00112","DB01101","D015179"
"DB08910","DB01234","D007938"
"DB00480","DB00635","D007938"
"DB01259","DB01006","D001943"
"DB01041","DB00860","D007938"
"DB00112","DB04106","D008545"
"DB00072","DB00997","D001943"
"DB00112","DB00544","D019337"
"DB00317","DB01248","D001943"
"DB01217","DB00947","D001943"
"DB00675","DB00072","D001943"
"DB00317","DB01248","D002289"
"DB00112","DB01259","D001943"
"DB00034","DB06287","D002292"
"DB00398","DB01229","D002289"
"DB05812","DB00635","D010190"
"DB01259","DB06589","D005910"
"DB00072","DB01248","D001943"
"DB00317","DB01268","D002292"
"DB01269","DB00544","D015179"
"DB00002","DB01229","D002289"
"DB00112","DB00002","D015179"
"DB00002","DB01229","C536475"
"DB00002","DB00544","D000077195"
"DB00317","DB00762","D015179"
"DB00112","DB00530","D000077195"
"DB00398","DB01268","D002292"
"DB00480","DB01234","D009101"
"DB00072","DB00544","D013274"
"DB01259","DB01229","D001943"
"DB00398","DB00544","D006528"
"DB01269","DB00762","D018281"
"DB00530","DB00642","D002289"
"DB00112","DB01229","D010051"
"DB01128","DB01026","D002292"
"DB05294","DB01248","D004938"
"DB11828","DB00361","D001943"
"DB00398","DB00928","D007938"
"DB00188","DB00635","D007938"
"DB00990","DB00675","D001943"
"DB00398","DB00997","D006528"
"DB00530","DB00441","D001661"
"DB01217","DB00014","D001943"
"DB00188","DB00072","D001943"
"DB01259","DB01101","D001943"
"DB00947","DB04960","D001943"
"DB00619","DB02546","D007938"
"DB00675","DB00014","D001943"
"DB00398","DB01101","D001943"
"DB01590","DB00990","D001943"
"DB00112","DB01101","D001943"
"DB01128","DB00014","D010190"
"DB00188","DB01262","D007938"
"DB00619","DB00853","D005910"
"DB00398","DB00958","D002289"
"DB09074","DB01229","D001943"
"DB01590","DB01006","D001943"
"DB00480","DB01234","D007938"
"DB00072","DB12183","D015179"
"DB04849","DB09074","D001943"
"DB04849","DB01206","D005909"
"DB04868","DB00570","D001932"
"DB04868","DB00762","D001932"
"DB00072","DB12142","D015179"
"DB04868","DB15175","D001932"
"DB00112","DB00530","D015179"
"DB00002","DB01248","D004938"
"DB00112","DB00544","D015179"
"DB00112","DB00762","D005910"
"DB00398","DB01229","D008545"
"DB00002","DB01204","D064129"
"DB00112","DB00530","D006528"
"DB00317","DB01248","D000077195"
"DB00002","DB00544","D015179"
"DB00530","DB06343","D002289"
"DB00530","DB00515","D000077195"
"DB05812","DB00635","D064129"
"DB01217","DB00317","D001943"
"DB00947","DB00317","D001943"
"DB00099","DB00531","D002051"
"DB01268","DB01101","D001943"
"DB00112","DB06287","D002292"
"DB01041","DB00635","D002051"
"DB00112","DB01030","D002583"
"DB01259","DB06589","D001943"
"DB06626","DB00441","D021441"
"DB00112","DB00441","D002289"
"DB00022","DB00398","D008545"
"DB00947","DB12205","D001943"
"DB00112","DB01229","D002289"
"DB00112","DB00762","D015179"
"DB00002","DB00441","D064129"
"DB00307","DB00553","D002051"
"DB00398","DB01229","D008545"
"DB00019","DB01181","D002051"
"DB00112","DB00072","D010051"
"DB00002","DB12008","D007938"
"DB05294","DB12257","D055752"
"DB05239","DB12142","D007938"
"DB07232","DB00441","D009373"
"DB00112","DB12200","D002583"
"DB07232","DB01030","D010051"
"DB11363","DB14860","D002289"
"DB11714","DB14769","D001943"
"DB11363","DB14860","D002289"
"DB00002","DB12008","D001943"
"DB01259","DB12307","D001943"
"DB01259","DB00072","D015179"
"DB00112","DB01590","D018317"
"DB00675","DB00072","D001943"
"DB00317","DB01030","D010051"
"DB00947","DB01259","D001943"
"DB11714","DB00072","D001943"
"DB00002","DB00398","D015179"
"DB11689","DB01248","D002289"
"DB08875","DB00441","D021441"
"DB00530","DB01590","D000077195"
"DB00002","DB01229","D004938"
"DB08916","DB00515","D013274"
"DB01590","DB00398","D012516"
"DB01590","DB01229","D013274"
"DB00530","DB01098","D011471"
"DB00002","DB09073","D000077195"
"DB01590","DB06589","D002292"
"DB11595","DB00112","D002583"
"DB01590","DB00398","D012516"
"DB00112","DB01254","D001932"
"DB00112","DB00398","D010051"
"DB06589","DB00544","D013274"
"DB08916","DB00002","D002289"
"DB01128","DB06589","D011471"
"DB12015","DB01006","D001943"
"DB00398","DB00175","D006528"
"DB08916","DB00002","D002289"
"DB11689","DB00544","D010190"
"DB08875","DB09330","D005909"
"DB00002","DB08911","D015179"
"DB01590","DB06589","D002292"
"DB00398","DB05136","D006528"
"DB11967","DB11666","D002280"
"DB00619","DB11666","D004938"
"DB01268","DB06091","D010190"
"DB00619","DB11886","D013274"
"DB06589","DB01229","D010051"
"DB05812","DB08899","D011471"
"DB09143","DB08828","D002280"
"DB00002","DB01269","D015179"
"DB01590","DB01268","D002292"
"DB00530","DB01590","D005910"
"DB00002","DB01269","D015179"
"DB00530","DB00441","D010190"
"DB08911","DB11969","D008545"
"DB01590","DB00072","D001943"
"DB11595","DB09078","D000077192"
"DB06366","DB00072","D002295"
"DB00112","DB00398","D010051"
"DB01590","DB06589","D001943"
"DB06366","DB00072","D010190"
"DB08875","DB09035","D005909"
"DB01590","DB09078","D001943"
"DB01217","DB00072","D001943"
"DB09035","DB08911","D002289"
"DB08865","DB08911","D021441"
"DB01590","DB08911","D001063"
"DB00112","DB08911","D021441"
"DB01590","DB09078","D010051"
"DB00112","DB09074","D010051"
"DB06366","DB00072","D000077192"
"DB12874","DB00398","D015470"
"DB06233","DB06287","D016889"
"DB00112","DB01590","D018317"
"DB00398","DB01229","D001943"
"DB00112","DB01248","D001943"
"DB01259","DB00072","D013274"
"DB12015","DB00238","D001943"
"DB01590","DB00947","D001943"
"DB00530","DB00317","D002289"
"DB00398","DB01268","D002292"
"DB00002","DB01248","D000077195"
"DB12015","DB00238","D001943"
"DB01269","DB08911","D015179"
"DB00002","DB01269","D015179"
"DB00002","DB11718","D015179"
"DB00002","DB01269","D015179"
"DB00002","DB01269","D015179"
"DB00002","DB01269","D015179"
"DB00530","DB00317","D002289"
"DB00530","DB00317","D000077192"
"DB00530","DB00317","D015179"
"DB00002","DB01101","D015179"
"DB08912","DB01269","D015179"
"DB00002","DB01269","D015179"
"DB00002","DB01269","D015179"
"DB00530","DB00317","D000077192"
"DB08911","DB00441","D021441"
"DB00530","DB00317","D000077192"
"DB00002","DB01248","D000077195"
"DB00530","DB01590","D005910"
"DB00530","DB00317","D000077192"
