drug1	drug2	condition
DB11613	DB08934	D006333
DB01606	DB00319	D009765
DB00177	DB09292	D013771
DB00177	DB09292	D004437
DB00177	DB09292	D000013
DB00983	DB01222	D011657
DB01390	DB00338	D006471
DB01390	DB00338	D006470
DB00766	DB01060	D005909
DB00766	DB01060	D001932
DB00766	DB01060	D001254
DB00790	DB00808	D006973
DB00790	DB00808	D003920
DB00790	DB00808	D003924
DB00966	DB00381	D000075222
DB00879	DB09299	D007333
DB00766	DB01060	D012909
DB06708	DB06697	D016780
DB01015	DB00440	D011248
DB06708	DB06697	D018512
DB06708	DB06697	D010272
DB06708	DB06697	D011528
DB11613	DB08934	D012131
DB06708	DB06697	D000740
DB01606	DB00319	D014947
DB00921	DB01183	D003141
DB00921	DB01183	D015658
DB00921	DB01183	D000163
DB00750	DB00281	D002921
DB00766	DB01060	D016606
DB00177	DB09292	D008107
DB01262	DB15694	D002813
DB00973	DB00641	D058186
DB01606	DB00319	D000071074
DB00177	DB09292	D007172
DB00177	DB09292	D054160
DB01262	DB15694	D002277
DB01262	DB15694	D002294
DB01262	DB15694	D000077195
DB09324	DB00415	D006327
DB01299	DB00205	D007239
DB01299	DB00205	D015658
DB01299	DB00205	D000163
DB01299	DB00205	D012552
DB00921	DB01183	D010148
DB01597	DB01598	D010195
DB01606	DB00319	D014946
DB01299	DB00205	D012141
DB09096	DB00210	D006967
DB00177	DB09292	D003240
DB00956	DB00316	D045888
DB00956	DB00316	D052582
DB00956	DB00316	D053684
DB01190	DB00755	D000152
DB01015	DB00440	D008581
DB00966	DB00381	D006937
DB00766	DB01060	D000072836
DB01299	DB00205	D005334
DB00766	DB01060	D003790
DB00766	DB01060	D010149
DB00766	DB01060	D009336
DB01606	DB00319	D008223
DB01606	DB00319	D009369
DB01606	DB00319	D007938
DB01606	DB00319	D009101
DB01606	DB00319	D054219
DB01606	DB00319	D011289
DB01606	DB00319	D010954
DB01606	DB00319	D009190
DB01606	DB00319	D013577
DB01606	DB00319	D019584
DB00177	DB09292	D003928
DB06708	DB06697	D011014
DB01299	DB00205	D018512
DB00921	DB01183	D000079524
DB01597	DB01598	D019337
DB01597	DB01598	D009503
DB01597	DB01598	D064147
DB01597	DB01598	D000084462
DB01597	DB01598	D005334
DB00766	DB01060	D001049
DB00766	DB01060	D012891
DB00766	DB01060	D020181
DB00921	DB01183	D013375
DB00921	DB01183	D009021
DB01597	DB01598	D001424
DB00966	DB00381	D001281
DB01262	DB15694	D011087
DB01262	DB15694	D001752
DB01262	DB15694	D055728
DB01262	DB15694	D011086
DB01262	DB15694	D013922
DB01262	DB15694	D013920
DB00750	DB00281	D022125
DB00956	DB00316	D009369
DB00956	DB00316	D003110
DB00956	DB00316	D012004
DB00956	DB00316	D045823
DB00956	DB00316	D004238
DB00956	DB00316	D004240
DB00956	DB00316	D004239
DB00879	DB09299	D006509
DB01015	DB00440	D009748
DB00983	DB01222	D012141
DB00983	DB01222	D017563
DB00983	DB01222	D000092124
DB00983	DB01222	D018549
DB01299	DB00205	D003141
DB01299	DB00205	D006679
DB01299	DB00205	D050497
DB01299	DB00205	D066087
DB01015	DB00440	D016470
DB00999	DB00722	D006973
DB01114	DB00397	D014777
DB00750	DB00281	D014376
DB00999	DB00722	D002318
DB00999	DB00722	D050197
DB00999	DB00722	D003327
DB00999	DB00722	D003920
DB00999	DB00722	D003924
DB00999	DB00722	D006937
DB00999	DB00384	D002318
DB00999	DB00384	D050197
DB00999	DB00384	D003327
DB00999	DB00384	D003920
DB00999	DB00384	D003924
DB00999	DB00384	D006937
DB01114	DB00397	D001416
DB00177	DB09292	D011236
DB00177	DB09292	D018149
DB01606	DB00319	D050723
DB01606	DB00319	D005597
DB09324	DB00415	D014946
DB09324	DB00415	D050723
DB09324	DB00415	D005597
DB01114	DB00397	D012852
DB01015	DB00440	D012871
DB00177	DB09292	D012770
DB00177	DB09292	D002303
DB00956	DB00316	D000844
DB00177	DB09292	D003324
DB00177	DB09292	D017202
DB00177	DB09292	D003327
DB00177	DB09292	D007511
DB01015	DB00440	D000084462
DB01015	DB00440	D005334
DB09324	DB00415	D002764
DB09324	DB00415	D042101
DB09324	DB00415	D041881
DB00921	DB01183	D019970
DB01606	DB00319	D019337
DB09027	DB08934	D008223
DB09027	DB08934	D016393
DB11613	DB08934	D008223
DB11613	DB08934	D016393
DB00921	DB01183	D062787
DB00366	DB00165	D048968
DB01015	DB00440	D011289
DB01015	DB00440	D010954
DB01015	DB00440	D009190
DB01015	DB00440	D009196
DB01015	DB00440	D008232
DB01015	DB00440	D054437
DB01015	DB00440	D013577
DB00177	DB09292	D000092244
DB01015	DB00440	D012778
DB00366	DB00165	D006939
DB00750	DB00281	D055623
DB00750	DB00281	D007642
DB11574	DB11575	D006521
DB00766	DB01060	D004653
DB11613	DB08934	D013789
DB00956	DB00316	D000070598
DB09324	DB00415	D029424
DB09324	DB00415	D008171
DB09324	DB00415	D008173
DB01606	DB00319	D018410
DB01606	DB00319	D000077299
DB00177	DB09292	D000072657
DB01015	DB00440	D017192
DB00973	DB00641	D011115
DB00973	DB00641	D003929
DB00973	DB00641	D007674
DB00973	DB00641	D051436
DB00766	DB01060	D000022
DB00766	DB01060	D000027
DB00766	DB01060	D006547
DB00766	DB01060	D000069290
DB01114	DB00397	D012220
DB01262	DB15694	D008223
DB01262	DB15694	D008228
DB01262	DB15694	D016393
DB01262	DB15694	D006689
DB01262	DB15694	D016403
DB00177	DB09292	D006976
DB01606	DB09050	D002056
DB00973	DB00641	D007249
DB00177	DB09292	D017379
DB00956	DB00316	D014069
DB00956	DB00316	D012891
DB00956	DB00316	D020181
DB00956	DB00316	D064420
DB01606	DB09050	D011658
DB01606	DB09050	D059413
DB00647	DB00316	D013130
DB00647	DB00316	D003251
DB00879	DB09299	D024821
DB00879	DB09299	D001835
DB00879	DB09299	D001836
DB01606	DB00319	D001991
DB01606	DB00319	D029481
DB01606	DB00319	D004198
DB00766	DB01060	D001987
