drug	condition
DB00904	D055728
DB00904	D009196
DB00904	D054437
DB00904	D017681
DB00904	D015467
DB00904	D012008
DB08880	D051437
DB00285	D008881
DB00158	D014029
DB11094	D005870
DB11094	D001859
DB11094	D018212
DB01373	D005870
DB01373	D001859
DB01373	D018212
DB00581	D006470
DB01050	D053040
DB01050	D007669
DB01050	D014514
DB01050	D053039
DB01050	D002137
DB00497	D014514
DB00497	D053039
DB04918	D012871
DB00704	D011843
DB00704	D001416
DB00704	D017116
DB00627	D011565
DB15764	D011565
DB00331	D004938
DB00331	D001471
DB00165	D008180
DB00951	D008180
DB01060	D009767
DB11770	D009767
DB01270	D002561
DB01270	D003324
DB01270	D017202
DB01270	D003327
DB01270	D013923
DB09261	D004617
DB00747	D004630
DB00747	D004415
DB00213	D004630
DB09300	D004630
DB09300	D004415
DB00490	D006948
DB00490	D001289
DB08895	D009135
DB08895	D009220
DB00008	D054198
DB00008	D007945
DB00008	D001752
DB00008	D010677
DB00737	D009041
DB06292	D008269
DB06292	D004487
DB00537	D003320
DB00537	D007634
DB01044	D007634
DB00370	D003704
DB00323	D014947
DB00323	D019965
DB09303	D000783
DB09303	D001014
DB09303	D017544
DB04932	D011014
DB04932	D012131
DB00201	D001281
DB00201	D013610
DB00201	D013617
DB08885	D008113
DB00683	D002908
DB00193	D002908
DB00633	D001749
DB00633	D011470
DB00633	D006965
DB01065	D003865
DB00490	D003865
DB01221	D052016
DB00531	D020031
DB00531	D018235
DB01073	D018235
DB00207	D014917
DB09075	D020141
DB09075	D001778
DB09078	D002296
DB09078	D018200
DB09078	D014594
DB09036	D009369
DB09036	D015179
DB09036	D008175
DB09036	D010190
DB09036	D006258
DB09036	D010051
DB00515	D009302
DB00441	D009302
DB00544	D009302
DB09502	D018269
DB09502	D018284
DB00207	D014123
DB00207	D016781
DB01261	D003221
DB08907	D003221
DB01645	D010024
DB01645	D001847
DB01645	D002318
DB01645	D006331
DB11446	D006373
DB11446	D014257
DB00388	D000079690
DB00388	D060825
DB00988	D000079690
DB00988	D060825
DB00668	D000079690
DB00668	D060825
DB00368	D000079690
DB00368	D060825
DB00935	D000079690
DB00935	D060825
DB01364	D000079690
DB01364	D060825
DB08885	D012173
DB08885	D012174
DB00537	D052878
DB00537	D014545
DB00440	D052878
DB00440	D014545
DB01015	D052878
DB01015	D014545
DB13144	D010954
DB00541	D064420
DB01206	D064420
DB01168	D064420
DB01109	D000799
DB15404	D000799
DB00169	D008103
DB00169	D005355
DB00710	D008103
DB00710	D005355
DB01229	D018239
DB13809	D018239
DB01181	D018239
DB13144	D013724
DB13144	D018239
DB01036	D014652
DB00083	D014652
DB16820	D014652
DB01202	D009447
DB08895	D003876
DB08895	D004485
DB00608	D010003
DB00608	D020370
DB00281	D006323
DB00281	D013610
DB00281	D058687
DB00281	D014693
DB05426	D014069
DB16555	D014069
DB15763	D014069
DB09035	D016411
DB00620	D041441
DB00297	D012163
DB00297	D018630
DB00297	D041441
DB01026	D002177
DB05667	D002177
DB01026	D002181
DB05667	D002181
DB00412	D006946
DB08831	D004827
DB08831	D012640
DB06708	D007239
DB06708	D003141
DB06697	D007239
DB06697	D003141
DB01087	D007239
DB01087	D003141
DB00555	D009765
DB00555	D002032
DB00555	D001068
DB00555	D056912
DB00620	D009463
DB00620	D000070607
DB00961	D009463
DB00961	D000070607
DB00604	D003920
DB00107	D015430
DB00443	D018459
DB01229	D013953
DB13809	D013953
DB01408	D001991
DB01408	D001249
DB01408	D003371
DB01408	D000096823
DB01408	D000208
DB00194	D019337
DB00681	D008107
DB00362	D008107
DB01262	D008175
DB01262	D002289
DB01262	D008654
DB01262	D000086002
DB01262	D004938
DB00008	D012878
DB00317	D012878
DB09502	D002051
DB09081	D010300
DB00958	D054437
DB01030	D054437
DB11823	D001714
DB00220	D005909
DB00220	D009423
DB00220	D016543
DB15149	D009362
DB00158	D009421
DB00158	D007232
DB00218	D009436
DB00218	D016135
DB00218	D009421
DB00218	D007232
DB00957	D009436
DB00957	D016135
DB00957	D009421
DB00957	D007232
DB00783	D009436
DB13952	D009436
DB13954	D009436
DB13956	D009436
DB15690	D009436
DB00783	D016135
DB13952	D016135
DB13954	D016135
DB13956	D016135
DB15690	D016135
DB00783	D009421
DB13952	D009421
DB13954	D009421
DB13956	D009421
DB15690	D009421
DB00783	D007232
DB13952	D007232
DB13954	D007232
DB13956	D007232
DB15690	D007232
DB00878	D000038
DB00878	D005667
DB00635	D004938
DB00635	D003251
DB00620	D009369
DB00620	D004938
DB11251	D005901
DB00163	D005901
DB14001	D005901
DB14477	D005901
DB14003	D005901
DB01060	D007732
DB00122	D000067011
DB09277	D000067011
DB09563	D000067011
DB14006	D000067011
DB00122	D007732
DB09277	D007732
DB09563	D007732
DB14006	D007732
DB01128	D012468
DB09033	D002277
DB09033	D012468
DB00813	D004108
DB00683	D004108
DB01002	D004108
DB06822	D001835
DB06779	D001835
DB00369	D007153
DB00264	D002056
DB01039	D002056
DB13873	D002056
DB00575	D001259
DB00575	D002524
DB00575	D001260
DB00575	D013684
DB00575	D005183
DB00783	D001259
DB13952	D001259
DB13954	D001259
DB13956	D001259
DB15690	D001259
DB00783	D002524
DB13952	D002524
DB13954	D002524
DB13956	D002524
DB15690	D002524
DB00783	D001260
DB13952	D001260
DB13954	D001260
DB13956	D001260
DB15690	D001260
DB00783	D013684
DB13952	D013684
DB13954	D013684
DB13956	D013684
DB15690	D013684
DB00783	D005183
DB13952	D005183
DB13954	D005183
DB13956	D005183
DB15690	D005183
DB00571	D005356
DB00571	D009209
DB00884	D001835
DB00884	D015431
DB00593	D020918
DB00593	D012019
DB00593	D013577
DB00593	D013001
DB00163	D006484
DB14001	D006484
DB14477	D006484
DB00860	D006484
DB14631	D006484
DB14632	D006484
DB15566	D006484
DB00297	D010291
DB00296	D010291
DB00368	D006331
DB00695	D008171
DB00741	D017588
DB14538	D017588
DB14539	D017588
DB14540	D017588
DB14541	D017588
DB14543	D017588
DB14544	D017588
DB00741	D050177
DB14538	D050177
DB14539	D050177
DB14540	D050177
DB14541	D050177
DB14543	D050177
DB14544	D050177
DB00281	D007410
DB00281	D005767
DB00281	D004066
DB00281	D005683
DB00633	D007410
DB00633	D005683
DB00818	D007410
DB00818	D005683
DB00683	D011225
DB00243	D006333
DB01577	D010510
DB01611	D009394
DB00041	D000230
DB01117	D008175
DB01109	D001024
DB15404	D001024
DB01109	D003251
DB15404	D003251
DB13700	D006349
DB13700	D003251
DB06825	D009369
DB00165	D009069
DB01043	D009422
DB01043	D020233
DB00297	D004204
DB01156	D012148
DB04299	D000544
DB04299	D012559
DB00205	D011289
DB00205	D009190
DB00205	D013577
DB09053	D018450
DB01221	D004213
DB08911	D046152
DB00514	D010149
DB01132	D006099
DB01132	D006105
DB01270	D010523
DB01270	D009901
DB01270	D018917
DB14126	D008113
DB00300	D008113
DB00442	D008113
DB00633	D008103
DB00633	D005355
DB01221	D008103
DB01221	D005355
DB01026	D007006
DB05667	D007006
DB11110	D008275
DB15381	D010024
DB15381	D015663
DB12148	D010024
DB12148	D015663
DB00302	D011183
DB00602	D011041
DB00602	Q000506
DB00876	D000075222
DB00989	D009422
DB00989	D002493
DB00843	D009422
DB00843	D002493
DB00994	D003316
DB00781	D003316
DB00725	D003316
DB11181	D003316
DB12005	D000230
DB00704	D000096583
DB00649	D007153
DB00203	D060825
DB00704	D001171
DB00745	D009101
DB00745	D054219
DB06413	D009101
DB06413	D054219
DB01115	D005401
DB08895	D008171
DB00586	D000073818
DB00193	D000073818
DB00531	D000743
DB00531	D000744
DB00997	D000743
DB00997	D000744
DB00541	D000743
DB00541	D000744
DB14851	D008175
DB08904	D007251
DB01234	D018307
DB11487	D018307
DB14649	D018307
DB00642	D018307
DB06674	D007410
DB06674	D015212
DB08895	D007410
DB08895	D015212
DB00325	D007022
DB00245	D001416
DB01151	D001416
DB01242	D001416
DB00316	D009123
DB00497	D009123
DB00327	D009123
DB01173	D009123
DB00297	D013122
DB01002	D013122
DB09078	D046152
DB00230	D005831
DB00401	D007674
DB00401	D003928
DB00334	D001943
DB00433	D001943
DB00433	D014839
DB11341	D001943
DB11341	D014839
DB00727	D007676
DB00727	D001164
DB00727	D005402
DB06756	D018901
DB01098	D015427
DB00798	D007752
DB00798	D005322
DB00798	D012421
DB00415	D007752
DB15091	D013166
DB15091	D025241
DB15091	D000089183
DB00682	D009369
DB00682	D019337
DB00575	D019966
DB00575	D019969
DB00575	D019964
DB00112	D018303
DB00112	D005729
DB00762	D018303
DB00762	D005729
DB11771	D008223
DB11771	D016393
DB11771	D016403
DB00291	D054198
DB00947	D005185
DB09073	D005185
DB00929	D012422
DB00834	D012422
DB00834	D012421
DB00864	D001926
DB00864	D015427
DB01029	D003924
DB00741	D006943
DB14538	D006943
DB14539	D006943
DB14540	D006943
DB14541	D006943
DB14543	D006943
DB14544	D006943
DB00704	D011618
DB11595	D016889
DB15275	D016889
DB00302	D003398
DB00535	D012852
DB13504	D012852
DB00136	D011289
DB15557	D011289
DB00136	D009190
DB15557	D009190
DB00136	D013577
DB15557	D013577
DB14596	D007634
DB00873	D007634
DB00684	D007634
DB06151	D003554
DB14080	D003554
DB14479	D003554
DB14480	D003554
DB00635	D054391
DB00997	D054391
DB00541	D054391
DB01077	D002114
DB01077	D013577
DB01224	D000341
DB00847	D017495
DB06692	D019106
DB01109	D015179
DB15404	D015179
DB01109	D003110
DB15404	D003110
DB00034	D011471
DB00105	D011471
DB00218	D000740
DB00727	D004938
DB01068	D003704
DB00682	D002546
DB00682	D020520
DB00758	D020520
DB00163	D008269
DB14001	D008269
DB14477	D008269
DB00163	D014605
DB14001	D014605
DB14477	D014605
DB00163	D004487
DB14001	D004487
DB14477	D004487
DB00796	D003930
DB13919	D003930
DB00254	D010003
DB01327	D010003
DB00896	D015352
DB00896	D007638
DB00512	D011471
DB00009	D007035
DB00878	D011552
DB00773	D002583
DB06681	D000741
DB01281	D000741
DB00864	D000686
DB00281	D005401
DB00281	D012002
DB00343	D005401
DB00343	D012002
DB01115	D012002
DB00633	D000069076
DB00988	D012078
DB00988	D006978
DB00988	D006977
DB00988	D006973
DB00988	D050197
DB01114	D012871
DB01114	D003872
DB00318	D012871
DB00318	D003872
DB09302	D058226
DB01273	D007153
DB01169	D002280
DB00476	D015179
DB00798	D012008
DB00490	D059350
DB00490	D009293
DB00490	D013375
DB00515	D014987
DB00531	D001167
DB00531	D013625
DB00531	D001015
DB00158	D011655
DB00158	D013927
DB00158	D004617
DB00158	D020246
DB00165	D011655
DB00165	D013927
DB00165	D004617
DB00165	D020246
DB00200	D011655
DB00200	D013927
DB00200	D004617
DB00200	D020246
DB00214	D001835
DB00214	D001836
DB00695	D001835
DB00695	D001836
DB01263	D005909
DB09096	D055623
DB09096	D007642
DB00184	D001289
DB08604	D004485
DB13728	D003141
DB13728	D007239
DB13728	D004485
DB00877	D004806
DB00877	D008527
DB00877	D012175
DB00877	D018227
DB01030	D016609
DB00878	D012141
DB01065	D000544
DB00571	D007022
DB00996	D001321
DB08872	D001321
DB00996	D000067877
DB08872	D000067877
DB00996	D002659
DB08872	D002659
DB00813	D001049
DB08826	D008107
DB14126	D052439
DB00300	D052439
DB00879	D008659
DB00879	D052439
DB00112	D018365
DB00437	D016393
DB00575	D040921
DB00575	D013313
DB00112	D002822
DB00112	D014328
DB00112	D018245
DB00281	D005242
DB00026	D012128
DB00026	D012127
DB00026	D055371
DB06655	D001714
DB11714	D014604
DB00727	D050197
DB11842	D006331
DB00695	D011183
DB00695	D000084462
DB00695	D005334
DB00213	D013276
DB09477	D051437
DB09477	D003928
DB00790	D007674
DB00790	D051437
DB00790	D003928
DB00790	D051436
DB00150	D001943
DB00996	D059787
DB08872	D059787
DB00996	D005157
DB08872	D005157
DB03166	D010190
DB15111	D010190
DB00572	D012798
DB00572	D002547
DB00842	D015658
DB00916	D010437
DB15759	D010437
DB01137	D010437
DB06663	D008579
DB09026	D000419
DB00563	D012559
DB00563	D011618
DB01592	D007676
DB00715	D009203
DB00715	D007238
DB00633	D009207
DB00818	D009207
DB00732	D009207
DB13295	D009207
DB00565	D009207
DB00741	D011536
DB14538	D011536
DB14539	D011536
DB14540	D011536
DB14541	D011536
DB14543	D011536
DB14544	D011536
DB00337	D011536
DB00864	D011536
DB00201	D019547
DB00746	D003920
DB00746	D003922
DB00746	D000860
DB09074	D007680
DB01234	D020069
DB11487	D020069
DB14649	D020069
DB01234	D013119
DB11487	D013119
DB14649	D013119
DB06605	D002543
DB06605	D007674
DB04854	D003092
DB04854	D003093
DB04854	D014456
DB01275	D046110
DB06292	D014652
DB00624	D010049
DB01420	D010049
DB13943	D010049
DB13944	D010049
DB13946	D010049
DB16001	D010049
DB16002	D010049
DB01229	D013899
DB13809	D013899
DB09037	D013899
DB00642	D013899
DB15569	D013899
DB12023	D004485
DB06414	D007153
DB04900	D006526
DB04900	D019698
DB00572	D004931
DB11595	D010412
DB01222	D044342
DB01222	D000067011
DB08900	D044342
DB08900	D000067011
DB01076	D014376
DB01076	D014397
DB00002	D001661
DB00331	D011565
DB12525	D009362
DB00734	D002189
DB00363	D002189
DB08868	D002543
DB08868	D001929
DB08868	D000083302
DB08868	D020299
DB08868	D006470
DB08868	D004487
DB00264	D003876
DB00264	D003872
DB00264	D004485
DB00683	D003876
DB00683	D003872
DB00683	D004485
DB00201	D003876
DB00201	D003872
DB00201	D004485
DB00338	D003876
DB00338	D003872
DB00338	D004485
DB00682	D003876
DB00682	D003872
DB00682	D004485
DB04272	D007674
DB04272	D007676
DB04272	D054559
DB09154	D007674
DB09154	D007676
DB09154	D054559
DB01609	D009447
DB01609	D010954
DB01069	D012909
DB01075	D012909
DB00741	D012909
DB14538	D012909
DB14539	D012909
DB14540	D012909
DB14541	D012909
DB14543	D012909
DB14544	D012909
DB00668	D012909
DB11124	D012909
DB00250	D018366
DB00250	D014581
DB00250	D012871
DB00250	D012872
DB00250	D006967
DB04931	D014581
DB04931	D000092130
DB00107	D003704
DB00107	D057180
DB00107	D018888
DB00107	D020774
DB01024	D006526
DB00688	D006526
DB00877	D006506
DB00877	D006526
DB00877	D006505
DB06603	D000092122
DB00653	D006620
DB01197	D007674
DB01197	D003928
DB01197	D011507
DB00806	D011507
DB03619	D017253
DB03619	D009456
DB03619	D009455
DB09302	D008175
DB09302	D002289
DB00707	D002277
DB15351	D002277
DB04571	D002277
DB01373	D011289
DB01373	D015464
DB01373	D009447
DB01373	D015479
DB01373	D015477
DB01373	D012208
DB01373	D054429
DB01373	D009396
DB01373	D018233
DB01373	D013736
DB01373	D009196
DB01373	D054437
DB01373	D017681
DB01373	D015467
DB00158	D008679
DB00650	D010051
DB00650	D013736
DB00650	D018239
DB00158	D009373
DB00158	D018237
DB00158	D010051
DB00158	D013736
DB00158	D018239
DB00526	D018239
DB00544	D013736
DB00544	D018239
DB01373	D018239
DB11596	D010051
DB11596	D013736
DB11596	D018239
DB00783	D008881
DB13952	D008881
DB13954	D008881
DB13956	D008881
DB15690	D008881
DB01294	D018589
DB01222	D011656
DB01222	D004646
DB00316	D000077733
DB01075	D000077733
DB01069	D000077733
DB00959	D000077733
DB14643	D000077733
DB06317	D000077733
DB00927	D000077733
DB00158	D004314
DB01234	D004314
DB11487	D004314
DB14649	D004314
DB00635	D004314
DB00959	D004314
DB14643	D004314
DB01380	D004314
DB14681	D004314
DB00997	D004314
DB00059	D004314
DB09052	D004314
DB09052	D013577
DB00352	D004314
DB00352	D013577
DB01373	D004314
DB11596	D004314
DB00112	D016609
DB00531	D054403
DB06769	D015463
DB06769	D054403
DB06769	D008232
DB01073	D054403
DB00773	D054403
DB01179	D007943
DB01179	D008258
DB01179	D054403
DB01179	D008232
DB00257	D000755
DB01110	D000755
DB00316	D005831
DB00073	D007239
DB00073	D003141
DB00970	D031901
DB11672	D006053
DB11672	D005150
DB01112	D015787
DB01112	D005929
DB01112	D004890
DB00262	D009447
DB01137	D014766
DB00727	D006473
DB00072	D008577
DB05773	D008577
DB14962	D008577
DB06366	D008577
DB15661	D014777
DB00162	D050197
DB00276	D015477
DB00276	D054429
DB00276	D009190
DB00328	D010051
DB00328	D004938
DB00796	D012164
DB13919	D012164
DB00603	D007680
DB00603	D002292
DB00755	D004416
DB01192	D010149
DB01299	D000755
DB00613	D000755
DB01131	D000755
DB00203	D005316
DB00594	D007674
DB00594	D051436
DB00243	D054144
DB01074	D009202
DB01074	D002312
DB01074	D006984
DB11094	D001862
DB00297	D051474
DB09214	D003085
DB09214	D056844
DB00297	D003085
DB00297	D056844
DB00121	D002051
DB00121	D008223
DB00121	D008228
DB00121	D016393
DB00121	D020522
DB00121	D016403
DB00888	D002051
DB00262	D002051
DB00641	D010518
DB00641	D055113
DB13273	D007676
DB06288	D007676
DB00112	D018234
DB00537	D002761
DB00798	D002761
DB01212	D002761
DB01112	D002761
DB01234	D000086582
DB11487	D000086582
DB14649	D000086582
DB01234	D000370
DB11487	D000370
DB14649	D000370
DB00112	D001930
DB00112	D014947
DB00234	D006948
DB00234	D001289
DB06723	D000086382
DB09322	D013281
DB06218	D008881
DB00515	D002278
DB13928	D014947
DB00695	D001997
DB00695	D047928
DB01118	D020521
DB00489	D020521
DB00986	D009369
DB00986	D014571
DB00728	D009369
DB00728	D014571
DB01400	D009369
DB01400	D001749
DB01400	D014571
DB09034	D010300
DB09038	D052497
DB09038	D024821
DB09038	D003923
DB01592	D015179
DB01592	D012004
DB09146	D009369
DB09146	D015179
DB09146	D012004
DB01075	D044342
DB12281	D006106
DB12281	D010051
DB01183	D007006
DB00947	D015179
DB01036	D011472
DB09035	D005833
DB06186	D018358
DB06186	D005833
DB00199	D001943
DB01611	D002277
DB01611	D006528
DB01611	D007511
DB00965	D007511
DB00928	D002294
DB00928	D054391
DB00864	D000084802
DB00007	D009369
DB00755	D011471
DB00762	D000208
DB06176	D005910
DB06176	D054198
DB06176	D015464
DB06176	D001254
DB06176	D008579
DB06176	D004806
DB06176	D008527
DB06176	D001752
DB06176	D003397
DB06176	D050398
DB06176	D016545
DB06176	D005909
DB06176	D013120
DB00586	D053684
DB11672	D000544
DB01591	D003704
DB01591	D000544
DB00361	D016399
DB00361	D016411
DB00465	D014947
DB00974	D008589
DB00553	D003424
DB01407	D006009
DB08839	D018358
DB08839	D002276
DB11581	D001943
DB00819	D000783
DB00819	D017545
DB09049	D010149
DB00727	D015427
DB00727	D015428
DB01017	D001249
DB00966	D008107
DB00966	D005234
DB00966	D065626
DB06695	D008107
DB06695	D005234
DB06695	D065626
DB14726	D008107
DB14726	D005234
DB14726	D065626
DB00620	D013585
DB11714	D018262
DB11714	D055331
DB01017	D006258
DB00335	D008946
DB00335	D003251
DB00165	D044342
DB00165	D000067011
DB00165	D015362
DB01045	D044342
DB01045	D000067011
DB01045	D015362
DB00951	D044342
DB00951	D000067011
DB00951	D015362
DB00316	D000755
DB00316	D006086
DB01075	D000755
DB01075	D006086
DB01069	D000755
DB01069	D006086
DB00959	D000755
DB14643	D000755
DB00563	D000755
DB00454	D000755
DB00454	D006086
DB00074	D011014
DB00074	D003882
DB00074	D008171
DB00307	D011618
DB00959	D001171
DB14643	D001171
DB00860	D001171
DB14631	D001171
DB14632	D001171
DB15566	D001171
DB00552	D009369
DB00230	D020447
DB14851	D004938
DB00254	D044342
DB08895	D016399
DB08895	D016411
DB08895	D054391
DB00437	D014376
DB01042	D005134
DB01030	D005134
DB00567	D001424
DB00778	D001424
DB01221	D012600
DB00986	D005334
DB04920	D020521
DB04920	D000083242
DB00633	D016893
DB01043	D007511
DB09061	D010149
DB00609	D014397
DB00178	D044342
DB00674	D015140
DB00482	D014069
DB00571	D006948
DB00571	D006259
DB00571	D020196
DB00575	D006259
DB00575	D020196
DB11306	D003967
DB00559	D017565
DB00559	D012507
DB09099	D005355
DB04786	D005536
DB04786	D006232
DB04786	D009059
DB01006	D007889
DB01006	D047708
DB06655	D009203
DB06655	D000072657
DB06655	D007238
DB00040	D000072657
DB00745	D016739
DB06413	D016739
DB08887	D015179
DB00764	D000086382
DB14512	D000086382
DB00764	D000086582
DB14512	D000086582
DB01060	D004381
DB00916	D013276
DB15759	D013276
DB00916	D004381
DB15759	D004381
DB01211	D004381
DB00429	D006473
DB19356	D006473
DB00429	D006470
DB19356	D006470
DB00457	D006506
DB00457	D006526
DB00457	D019698
DB00457	D006505
DB00457	D005355
DB00465	D010612
DB11094	D018088
DB00153	D018088
DB00169	D018088
DB01017	D014376
DB01017	D018088
DB00755	D014376
DB00755	D018088
DB00523	D014376
DB00523	D018088
DB00982	D014376
DB00982	D018088
DB00844	D011658
DB00844	D054990
DB00844	D005355
DB00847	D007888
DB00847	D028361
DB00847	D013577
DB00841	D059347
DB00922	D059347
DB14922	D055756
DB00196	D007938
DB00196	D007951
DB00196	D015470
DB00196	D015479
DB00196	D015477
DB00196	D007948
DB00196	D009503
DB00520	D007938
DB00520	D009369
DB00520	D007951
DB00520	D015470
DB00520	D015479
DB00520	D015477
DB00520	D007948
DB00520	D012008
DB08820	D000208
DB01248	D018262
DB01248	D002288
DB00441	D018284
DB00441	D018269
DB00441	D018262
DB00441	D002288
DB00441	D003536
DB00441	D001948
DB11842	D050197
DB00996	D000428
DB08872	D000428
DB00530	D007239
DB00530	D006506
DB00530	D006526
DB00530	D019698
DB00530	D006505
DB00530	D006521
DB09035	D015458
DB09035	D015459
DB09035	D054391
DB09035	D058527
DB09035	D007410
DB09035	D007119
DB00281	D000083242
DB00818	D008173
DB00818	D029424
DB00818	D018450
DB01236	D008173
DB01236	D029424
DB01236	D018450
DB00582	D007153
DB00582	D013577
DB00681	D013577
DB00564	D004916
DB01101	D002051
DB01101	D009181
DB01101	D008223
DB01101	D007938
DB01101	D008224
DB01101	D008228
DB01101	D016393
DB01101	D006689
DB01101	D020522
DB01101	D016399
DB01101	D016411
DB01101	D018442
DB01101	D015451
DB01101	D054198
DB01101	D016403
DB01101	D016400
DB01101	D000069293
DB01101	D009182
DB01101	D012751
DB01101	D015458
DB01101	D008258
DB01101	D016410
DB01101	D015459
DB01101	D017728
DB01101	D008230
DB01101	D054391
DB01101	D064090
DB01101	D008232
DB01101	D007119
DB01101	D013577
DB00758	D006973
DB08826	D003704
DB00697	D008545
DB04951	D006333
DB12525	D007246
DB00020	D007246
DB00211	D010300
DB00997	D014839
DB00541	D014839
DB00694	D014839
DB01181	D014839
DB00904	D012509
DB06717	D012509
DB00673	D012509
DB09291	D012509
DB12023	D000096825
DB12023	D012852
DB06372	D034381
DB06372	D003638
DB00335	D000079690
DB00335	D060825
DB00316	D003248
DB01234	D003248
DB11487	D003248
DB14649	D003248
DB01050	D009325
DB01050	D003248
DB00482	D009325
DB00482	D003248
DB00996	D003248
DB08872	D003248
DB00327	D003248
DB09546	D001145
DB09546	D013610
DB09546	D017180
DB01006	D007890
DB06777	D008103
DB06777	D005234
DB06777	D065626
DB06777	D005355
DB05578	D000077195
DB06151	D000077277
DB14080	D000077277
DB14479	D000077277
DB14480	D000077277
DB00316	D059352
DB00889	D000377
DB00818	D014594
DB01236	D014594
DB06216	D013342
DB01234	D003092
DB11487	D003092
DB14649	D003092
DB01234	D003093
DB11487	D003093
DB14649	D003093
DB01234	D014456
DB11487	D014456
DB14649	D014456
DB08882	D007674
DB00530	D001749
DB00530	D018567
DB00530	D018242
DB00530	D018315
DB01201	D003141
DB13144	D000075122
DB09037	D012516
DB00559	D003240
DB01065	D012164
DB01065	D003930
DB08997	D019584
DB01104	D019964
DB00959	D019052
DB14643	D019052
DB00959	D003863
DB14643	D003863
DB00959	D003866
DB14643	D003866
DB00860	D019052
DB14631	D019052
DB14632	D019052
DB15566	D019052
DB00860	D003863
DB14631	D003863
DB14632	D003863
DB15566	D003863
DB00860	D003866
DB14631	D003866
DB14632	D003866
DB15566	D003866
DB09270	D007676
DB08931	D012507
DB00321	D003922
DB00321	D007003
DB00112	D007945
DB11619	D017699
DB06777	D009128
DB06777	D010264
DB06777	D015419
DB02709	D009128
DB02709	D010264
DB02709	D015419
DB01076	D009128
DB01076	D010264
DB01076	D015419
DB01234	D003639
DB11487	D003639
DB14649	D003639
DB00853	D009442
DB00853	D006393
DB00853	D054364
DB00853	D018315
DB00853	D009464
DB12371	D008107
DB00619	D008288
DB00619	D016778
DB00951	D060085
DB01109	D006406
DB15404	D006406
DB06822	D006406
DB06779	D006406
DB00741	D008413
DB14538	D008413
DB14539	D008413
DB14540	D008413
DB14541	D008413
DB14543	D008413
DB14544	D008413
DB00741	D058890
DB14538	D058890
DB14539	D058890
DB14540	D058890
DB14541	D058890
DB14543	D058890
DB14544	D058890
DB11231	D013345
DB11231	D006470
DB01024	D008268
DB01024	D005128
DB01024	D057092
DB01024	D012164
DB01024	D001284
DB00688	D008268
DB00688	D005128
DB00688	D057092
DB00688	D012164
DB00688	D001284
DB00864	D005128
DB00864	D012164
DB00627	D015212
DB15764	D015212
DB00650	D003967
DB00544	D003967
DB00860	D001656
DB14631	D001656
DB14632	D001656
DB15566	D001656
DB01006	D031901
DB09330	D009371
DB09330	D009370
DB09330	D013899
DB09330	D012142
DB09330	D001984
DB09330	D002283
DB09330	D009380
DB09330	D008171
DB09330	D012140
DB01277	D008171
DB01277	D001997
DB01277	D006470
DB00110	D007239
DB00110	D003141
DB00738	D002277
DB00738	D006528
DB01590	D003528
DB01169	D008545
DB00822	D008545
DB00956	D014098
DB00313	D003704
DB01224	D000544
DB01224	D003704
DB01224	D011595
DB00684	D015817
DB00684	D011183
DB00888	D009373
DB00888	D008527
DB00742	D009373
DB00742	D008527
DB00742	D017599
DB00742	D018242
DB00186	D002389
DB00186	D064128
DB06817	D009103
DB06817	D020529
DB06817	D012598
DB00841	D014115
DB00988	D018805
DB00988	D014115
DB04880	D018805
DB04880	D014115
DB00727	D018805
DB00727	D014115
DB01611	D006506
DB01611	D006526
DB01611	D006505
DB09061	D000074609
DB01234	D015812
DB11487	D015812
DB14649	D015812
DB06802	D005901
DB06802	D015812
DB00642	D053842
DB14707	D002280
DB00421	D064726
DB00412	D051437
DB00412	D003928
DB00412	D011507
DB00399	D012509
DB00399	D018335
DB00399	D013584
DB00399	D002817
DB00399	D018317
DB00399	D058405
DB00399	D018234
DB00399	D018227
DB00399	D009208
DB00162	D003967
DB09146	D058186
DB05381	D005221
DB00296	D014069
DB00683	D009437
DB00683	D007249
DB00683	D059350
DB01241	D009103
DB00916	D002177
DB15759	D002177
DB00916	D019522
DB15759	D019522
DB00196	D016585
DB00196	D014623
DB00196	D014627
DB00257	D014623
DB00257	D019522
DB01110	D014623
DB01110	D019522
DB00911	D002177
DB00911	D014627
DB00911	D019522
DB16522	D003704
DB16522	D011595
DB00736	D007592
DB00736	D003680
DB00770	D006473
DB00770	D006470
DB01160	D006473
DB12789	D006473
DB01160	D006470
DB12789	D006470
DB04876	D050171
DB04876	D012559
DB01221	D013285
DB00599	D013285
DB00026	D008659
DB00026	D044882
DB00482	D009101
DB00482	D054219
DB00482	D000075122
DB00482	D010265
DB00482	D008998
DB16222	D020522
DB01004	D010051
DB01004	D000077216
DB01004	D005185
DB01593	D007246
DB01593	D009845
DB00806	D007246
DB00806	D009845
DB09322	D007246
DB09322	D009845
DB00619	D009196
DB06243	D008654
DB06243	D000086002
DB06243	D000077273
DB06243	D010051
DB06243	D000080443
DB00575	D006333
DB00296	D004715
DB00296	D011391
DB00296	D017699
DB00983	D053120
DB01274	D053120
DB00476	D063806
DB00381	D017379
DB00177	D017379
DB00999	D017379
DB00889	D010149
DB00687	D010554
DB00687	D001883
DB00047	D014647
DB00047	D014456
DB00047	D014947
DB08885	D004213
DB11776	D001172
DB00399	D000755
DB16216	D000230
DB16216	D000077192
DB09502	D006331
DB09502	D009203
DB09502	D017202
DB09502	D003324
DB09502	D007238
DB00305	D011553
