drug	condition
DB00773	D012598
DB01042	D009103
DB01042	D020529
DB01042	D012598
DB00262	D009103
DB00262	D020529
DB00262	D012598
DB13144	D009103
DB13144	D020529
DB13144	D012598
DB01024	D003922
DB00688	D003922
DB00877	D003922
DB00005	D003922
DB00864	D003922
DB01268	D000230
DB06655	D009765
DB00040	D009765
DB11823	D003865
DB11823	D013405
DB11823	D059020
DB05679	D008180
DB00965	D006391
DB00965	D006394
DB00965	D006390
DB00965	D001165
DB00269	D002277
DB00269	D006528
DB01221	D003863
DB01221	D003866
DB01221	D003865
DB01221	D061218
DB00603	D047928
DB00603	D008594
DB00603	D016649
DB00957	D047928
DB00957	D008594
DB00957	D016649
DB00783	D047928
DB13952	D047928
DB13954	D047928
DB13956	D047928
DB15690	D047928
DB00783	D008594
DB13952	D008594
DB13954	D008594
DB13956	D008594
DB15690	D008594
DB00783	D016649
DB13952	D016649
DB13954	D016649
DB13956	D016649
DB15690	D016649
DB00654	D005901
DB19360	D005901
DB00654	D005902
DB19360	D005902
DB00654	D006973
DB19360	D006973
DB06663	D002278
DB06663	D044584
DB06663	D002285
DB09038	D006333
DB00112	D008269
DB00112	D004487
DB06151	D000086382
DB14080	D000086382
DB14479	D000086382
DB14480	D000086382
DB00927	D000086382
DB00811	D006528
DB00811	D012008
DB08934	D006528
DB08934	D012008
DB09027	D006528
DB09027	D012008
DB00122	D003324
DB09277	D003324
DB09563	D003324
DB14006	D003324
DB00122	D017202
DB09277	D017202
DB09563	D017202
DB14006	D017202
DB00122	D003327
DB09277	D003327
DB09563	D003327
DB14006	D003327
DB00122	D006331
DB09277	D006331
DB09563	D006331
DB14006	D006331
DB00122	D050171
DB09277	D050171
DB09563	D050171
DB14006	D050171
DB01076	D003324
DB01076	D017202
DB01076	D003327
DB01076	D006331
DB01076	D050171
DB01039	D003324
DB13873	D003324
DB01039	D017202
DB13873	D017202
DB01039	D003327
DB13873	D003327
DB01039	D006331
DB13873	D006331
DB01039	D050171
DB13873	D050171
DB01229	D004938
DB13809	D004938
DB01101	D004938
DB11094	D003920
DB11094	D003924
DB11595	D001749
DB01132	D005234
DB01132	D065626
DB00213	D005764
DB00213	D004942
DB00213	D001049
DB00213	D012891
DB00213	D020181
DB00213	D000077260
DB01234	D002386
DB11487	D002386
DB14649	D002386
DB01234	D007249
DB11487	D007249
DB14649	D007249
DB01156	D008175
DB00184	D008175
DB01076	D002277
DB01076	D016889
DB01076	D004714
DB01076	D006965
DB01098	D002277
DB01098	D016889
DB01098	D004714
DB01098	D006965
DB01373	D002277
DB01373	D016889
DB01373	D004714
DB01373	D006965
DB00281	D010612
DB00296	D010612
DB01024	D008223
DB01024	D007938
DB01024	D009369
DB01024	D009101
DB01024	D054219
DB01024	D011289
DB01024	D010954
DB01024	D009190
DB01024	D009196
DB01024	D013577
DB00688	D008223
DB00688	D007938
DB00688	D009369
DB00688	D009101
DB00688	D054219
DB00688	D011289
DB00688	D010954
DB00688	D009190
DB00688	D009196
DB00688	D013577
DB00563	D008223
DB00563	D007938
DB00563	D009369
DB00563	D009101
DB00563	D054219
DB00563	D011289
DB00563	D010954
DB00563	D009190
DB00563	D009196
DB00563	D013577
DB01073	D008223
DB01073	D007938
DB01073	D009369
DB01073	D011289
DB01073	D010954
DB01073	D009190
DB01073	D009196
DB01073	D013577
DB01008	D008223
DB01008	D007938
DB01008	D009369
DB01008	D009101
DB01008	D054219
DB01008	D011289
DB01008	D010954
DB01008	D009190
DB01008	D009196
DB01008	D013577
DB00437	D008223
DB00437	D007938
DB00437	D009369
DB00437	D009101
DB00437	D054219
DB00437	D011289
DB00437	D010954
DB00437	D009190
DB00437	D009196
DB00437	D013577
DB00864	D008223
DB00864	D007938
DB00864	D009369
DB00864	D009101
DB00864	D054219
DB00864	D011289
DB00864	D010954
DB00864	D009190
DB00864	D009196
DB00864	D013577
DB00373	D005901
DB00373	D009798
DB00373	D006973
DB00869	D005901
DB00869	D009798
DB00869	D006973
DB04299	D005901
DB04299	D009798
DB04299	D006973
DB00333	D009437
DB00958	D002277
DB00958	D002295
DB00441	D002277
DB00441	D002295
DB00331	D006526
DB00296	D010149
DB14126	D015658
